0,Baise,Contessa,Jeff,male,69,White American,0,O+,Light Brown,Blue,6646 Railroad Avenue,Lakeview,Oregon,97090,541-785-2400,699-39-4927,Carrier
1,Hoffpavir,America,Vernon,male,12,White American,0,O+,Brown,Brown,3082 Madison Avenue,Hobbs,New Mexico,87505,505-919-7930,410-66-2106,Infected
2,Juett,Steven,Rossana,male,73,White American,1,A+,Blond,Hazel,4516 Woodland Road,Coulee Dam,Washington,98462,206-593-1270,362-53-4435,Immune
3,Colsch,Gennie,Suzi,female,28,White American,0,O+,Brown,Green,7490 Lake Avenue,Sarasota,Florida,32929,904-269-1387,701-33-6016,Carrier
4,Cabana,Candyce,Dionne,male,42,White American,0,O+,Blond,Brown,2850 Hillside Avenue,Braintree,Massachusetts,1563,774-984-6318,383-26-9500,Infected
5,Hsia,Trudi,Jamel,female,66,White American,0,O+,Brown,Brown,6105 8th Avenue,Pullman,Washington,99188,360-300-1788,383-52-8229,Carrier
6,Stroope,Kacy,Ariana,male,29,White American,0,A+,Brown,Blue,8996 Rose Street,Park City,Utah,84240,435-514-5538,838-36-7598,Immune
7,Meuler,Nestor,Florence,female,20,White American,0,A+,Light Brown,Hazel,1964 Route 6,Seymour,Connecticut,6337,860-507-2541,751-37-8727,Immune
8,Geitner,Flavia,Cherie,male,36,White American,1,O-,Brown,Blue,1275 6th Street North,Portland,Oregon,97512,458-630-6482,699-10-7637,Immune
9,Jelks,Maisie,Shawn,female,44,White American,1,O+,Brown,Brown,1142 Overlook Circle,Nephi,Utah,84381,385-205-4170,438-29-5469,Immune
10,Saad,Toya,Drema,female,22,Black American,0,O+,Brown,Brown,3837 Laurel Lane,Bridgeport,Connecticut,6673,860-589-6738,222-38-9801,Immune
11,Sakata,Ellena,Mina,male,52,Black American,0,B-,Light Brown,Brown,1153 Canal Street,Southington,Connecticut,6907,475-364-9948,115-55-4497,Immune
12,Baucum,Chasity,Jamey,male,58,Black American,0,O+,Black,Brown,1028 Walnut Avenue,Rock Springs,Wyoming,82344,307-907-8568,298-94-7315,Carrier
13,Macinnes,Larry,Danika,female,13,White American,0,O+,Blond,Blue,2030 B Street,Exeter,New Hampshire,3458,603-258-3416,523-95-7140,Immune
14,Hect,Nidia,Kristyn,female,17,Other Race,1,A+,Brown,Blue,1029 Forest Street,The Village,Oklahoma,74179,539-579-3398,334-57-7218,Immune
15,Waldvogel,Viva,Nga,male,60,White American,0,O+,Light Brown,Brown,3212 9th Street West,Aiken,South Carolina,29824,803-812-5600,370-33-2360,Infected
16,Arn,Brendon,Norbert,male,4,Other Race,1,B-,Brown,Brown,7043 Hilltop Road,Windham,Connecticut,6432,203-385-1212,841-32-4693,Carrier
17,Santheson,Idalia,Vernice,male,21,White American,0,O+,Brown,Brown,2902 Catherine Street,Yazoo City,Mississippi,39022,228-650-6589,748-44-1380,Immune
18,Appling,Jae,Jalisa,female,60,White American,1,O+,Brown,Hazel,7806 Canal Street,Devils Lake,North Dakota,58469,701-128-2634,307-86-9301,Infected
19,Harman,Gaston,Carlos,male,58,Black American,0,O-,Black,Brown,9353 Broad Street,Windsor Locks,Connecticut,6047,203-259-9739,188-77-9980,Carrier
20,Stansberry,Kandy,Clarence,female,47,White American,0,B-,Brown,Green,1762 Homestead Drive,Corpus Christi,Texas,75003,210-264-9270,348-62-7031,Carrier
21,Fiorenzi,Thomasena,Herschel,female,35,White American,0,A+,Light Brown,Hazel,8753 Railroad Avenue,Helena,Arkansas,71712,479-798-1029,950-28-7208,Carrier
22,Winebarger,Dale,Yolando,female,0,White American,1,A+,Brown,Blue,3168 Jefferson Avenue,Williamson,West Virginia,26497,304-993-3117,460-73-9280,Immune
23,Laurino,Tennie,Jeanene,male,7,White American,0,A+,Blond,Green,6668 Jefferson Court,Central City,Colorado,80573,720-361-2277,605-97-6471,Immune
24,Moricle,Alvina,Mariano,female,11,White American,0,O+,Black,Brown,1483 Redwood Drive,Sweetwater,Texas,78327,830-588-5893,676-98-2746,Carrier
25,Valot,Temple,Somer,female,55,White American,0,O+,Blond,Blue,3410 11th Street,Scottsboro,Alabama,35920,251-851-9221,216-85-5978,Immune
26,Carfora,Marquita,Bob,male,8,White American,0,AB-,Brown,Blue,4170 Hamilton Road,Okmulgee,Oklahoma,74684,539-608-9121,416-74-1751,Infected
27,Toussiant,Luanna,Valda,female,36,Black American,0,O+,Brown,Brown,1875 Cleveland Avenue,Athens,Alabama,36200,251-827-1730,888-59-2486,Carrier
28,Umbarger,Francene,Merideth,male,18,White American,0,O+,Brown,Brown,7192 Willow Street,New Ulm,Minnesota,56579,651-197-4733,429-51-3955,Infected
29,Montondo,Dennise,Elena,male,26,White American,0,A+,Brown,Blue,1023 Durham Road,Chadron,Nebraska,69031,402-769-8450,154-35-3213,Infected
30,Soley,Shera,Lonna,male,27,Other Race,1,O+,Brown,Brown,6925 Orange Street,Kokomo,Indiana,47028,219-278-4893,482-89-9425,Infected
31,Tallis,Mozelle,Shelli,female,56,White American,0,A+,Brown,Green,5701 Hawthorne Avenue,Sitka,Alaska,99729,907-264-4040,720-34-3901,Immune
32,Reio,Janell,Nichelle,female,72,White American,0,O+,Black,Blue,9245 Lincoln Street,Saint Joseph,Missouri,65537,660-635-3084,452-36-5453,Carrier
33,Reily,Benjamin,Cicely,female,40,Black American,0,A+,Black,Brown,7509 8th Street South,Johnson City,Tennessee,37109,615-326-7341,912-15-7451,Immune
